"","year","endpoint","age","test=Cytology","test=HC2","test=Abbott","test=Cobas","test=Alinity"
"1",3,"CIN2+","All","0.48 (0.26 - 0.7)","0.03 (0 - 0.1)","0.03 (0 - 0.09)","0.03 (0 - 0.09)","0.03 (0 - 0.1)"
"2",3,"CIN2+","20-29","0.75 (0.23 - 1.27)","0.13 (0 - 0.38)","0.12 (0 - 0.36)","0.13 (0 - 0.37)","0.13 (0 - 0.37)"
"3",3,"CIN2+","30-59","0.34 (0.12 - 0.57)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"4",3,"CIN2+","60+","1.45 (0 - 4.23)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"5",3,"CIN3+","All","0.21 (0.06 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"6",3,"CIN3+","20-29","0.28 (0 - 0.59)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"7",3,"CIN3+","30-59","0.19 (0.02 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"8",3,"CIN3+","60+","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"9",6,"CIN2+","All","1.84 (1.35 - 2.32)","0.35 (0.12 - 0.58)","0.38 (0.14 - 0.61)","0.34 (0.12 - 0.57)","0.3 (0.09 - 0.51)"
"10",6,"CIN2+","20-29","3.05 (1.87 - 4.21)","0.61 (0.01 - 1.2)","0.72 (0.09 - 1.36)","0.74 (0.09 - 1.39)","0.74 (0.09 - 1.39)"
"11",6,"CIN2+","30-59","1.36 (0.86 - 1.86)","0.27 (0.03 - 0.52)","0.27 (0.03 - 0.5)","0.21 (0 - 0.42)","0.16 (0 - 0.33)"
"12",6,"CIN2+","60+","1.45 (0 - 4.23)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"13",6,"CIN3+","All","0.21 (0.06 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"14",6,"CIN3+","20-29","0.28 (0 - 0.59)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"15",6,"CIN3+","30-59","0.19 (0.02 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"16",6,"CIN3+","60+","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"17",9,"CIN2+","All","2.46 (1.88 - 3.03)","0.84 (0.46 - 1.22)","0.9 (0.51 - 1.29)","0.78 (0.42 - 1.15)","0.75 (0.39 - 1.11)"
"18",9,"CIN2+","20-29","4.25 (2.82 - 5.66)","1.71 (0.64 - 2.76)","1.97 (0.85 - 3.08)","1.66 (0.62 - 2.68)","1.66 (0.63 - 2.69)"
"19",9,"CIN2+","30-59","1.76 (1.17 - 2.35)","0.56 (0.19 - 0.92)","0.54 (0.18 - 0.9)","0.49 (0.15 - 0.84)","0.44 (0.11 - 0.77)"
"20",9,"CIN2+","60+","1.45 (0 - 4.23)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"21",9,"CIN3+","All","0.21 (0.06 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"22",9,"CIN3+","20-29","0.28 (0 - 0.59)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"23",9,"CIN3+","30-59","0.19 (0.02 - 0.36)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
"24",9,"CIN3+","60+","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)","0 (0 - 0)"
